fid,nombre,nivel
10,Shingetsu Kaguya,5
58,Narrador General,6
102,Koga,3
109,Pergaminin,2
243,ESTA NO,3
257,Jhin Jashin,2
375,Byakugan-Kun,2
410,Shinra Tensei,2
622,Kyōraku Senju,8
633,Terumi Enjō,4
667,Keiko Kudon,1
680,Ren Uchiha,1
686,Izanagi,1
692,Kaguya Kuren,7
705,Orión,7
712,Yūgen Sarutobi,7
719,Jinbei,5
720,Uchiha Keisuke,5
722,Uchiha Megami,1
723,Issei,7
725,Arako,6
726,Soma,5
727,Nara Kogarasu,9
728,Yogan Terumi,6
734,Fukasaku,2
739,Akimichi Alex,4
740,Daeru Uchiha,7
742,Kana Uchiha,6
743,Sayuri Yuki,6
744,Yokubari,9
745,Shinobu,1
746,Kaito Sarutobi,6
747,Ryudan,4
748,Adan Yamanaka,4
749,Mayura Hyuga,6
750,Naoe Senju,7
751,Sarutobi Raizen,6
752,Ibuki Inuzuka,7
755,Kishue,2
756,Taki,1
757,Kagetsu Kodon,5
758,Kia,2
759,Kalak,2
760,Brolk,4
762,Kuroto Uchiha,5
763,Nagisa,2
764,Akira Hyuuga,7
765,Yukine,6
766,Ran Kurai,5
767,Hayato Miyashi,5
768,Eizon Senju,1
769,Uchiha Takeru,12
770,Ao,2
771,Kinzo Funato,3
772,Yagami Nara,5
774,Ren Uchiha,3
775,Shun,3
776,Sōren Mizushima,2
778,Douma Kodon,4
781,Aburame Momo,3
782,Miyumi Uchiha,1
783,Kon,2
788,Adarel Hyüga,2
792,Yocko,1
