Nombre	Descripción	Efecto	Valor	Tobis
Presencia Abrumadora	El chakra del usuario es de una pureza inusual, fluyendo con tanta intensidad que fortalece y abre más sus tenketsu. Esto le otorga un control y poder superior al manipular su energía. Sin embargo, esta misma fuerza interior genera una presencia palpable, difícil de ocultar: incluso sin proponérselo, el usuario resulta evidente para quienes lo rodean, perdiendo parte de su capacidad de moverse en silencio o pasar desapercibido.	Obtiene +5 Tenketsu y −5 Sigilo.	3	40
Piel de Piedra	La piel del usuario es más gruesa y compacta de lo normal, como si estuviera recubierta por una coraza natural. Esto le permite resistir mejor cortes y heridas sangrantes, ya que la sangre tarda más en fluir fuera del cuerpo. Sin embargo, esta densidad anormal también dificulta la correcta oxigenación de los tejidos y sobrecarga los órganos, lo que reduce la salud general del individuo.	[SAL/2] Reducción al nivel de Sangrado, −5 Salud.	2	30
Huesos de Hierro	El cuerpo del usuario es más sólido y resistente de lo normal, como si sus huesos fueran forjados en acero. Puede soportar golpes, caídas y presiones físicas que dejarían a otros fuera de combate. Sin embargo, esa densidad extra también le resta agilidad y rapidez en sus movimientos.	−3 m/s Velocidad de Movimiento, +5 Velocidad para resistir Lesiones.	1	20
Fuerza Descomunal	El usuario desarrolla una potencia física extraordinaria, capaz de ejecutar ataques devastadores y levantar cargas imposibles para la mayoría. Su cuerpo prioriza la fuerza bruta sobre la agilidad fina, por lo que, aunque puede golpear con gran poder, sus movimientos precisos para esquivar ataques se ven afectados.	Obtiene +20 de Fuerza, −1 al Potencial de Esquiva.	1	20
Genio	El usuario posee un talento excepcional que le permite sobresalir en un área de su elección: fuerza, destreza, inteligencia o control de chakra. Su capacidad innata para adaptarse y mejorar le da ventaja sobre sus compañeros, aunque debe concentrarse en un solo aspecto a la vez para no dispersar su potencial.	Elige una estadística: fuerza, destreza, inteligencia o control de chakra. Obtiene +1 de Modificador en la estadística elegida.	3	40
Afinidad	El usuario debe elegir un elemento, incluido Yin-Yang. Una vez seleccionado, podrá activar su Afinidad Elemental un número de veces según su Control de Chakra para elegir uno de los siguientes efectos: aumentar en +1 el Nivel del Jutsu, dificultando su esquiva, o aplicar por segunda vez el efecto del Jutsu Base del elemento elegido durante su ejecución. No afecta a árboles de Clan ni a la ventaja elemental.	[MCCKx1] de Veces por Tema	4	50
Experto en Sellos de Mano	El ninja puede ejecutar sellos manuales con una sola mano de forma opcional al pagar un costo adicional de 10 puntos de Chakra por Jutsu. Si ya posee la capacidad de realizar sellos con una sola mano gracias a una Especialidad, Pasiva o cualquier otra habilidad, esta pasiva no surte efecto.		5	60
Pergamino del Reset	Este pergamino permite reiniciar un único Árbol de Jutsus. Al utilizarlo, el usuario recupera todos los puntos invertidos en ese árbol y podrá redisuirlos mediante una petición administrativa.		4	50
Pergamino del Cuerpo	Este pergamino permite reiniciar las Estadísticas usuario. Al utilizarlo, todas las Estadísticas vuelven a su valor base y el usuario podrá redistribuir nuevamente los puntos mediante una petición administrativa.		4	50
Nacionalista	Tu próxima Multicuenta podrá ignorar la regla de nacionalidad. Al adquirir esta virtud, esa cuenta podrá pertenecer a la misma nación que este personaje. Esta virtud solo puede adquirirse una vez por personaje.		2	30
Pergamino del Olvido	Este pergamino permite olvidar un Árbol de Habilidades. Al utilizarlo, el usuario perderá el acceso a todas las habilidades de dicho árbol y no podrá volver a utilizarlas en combate. Narrativamente podrá afirmar que aún domina ese arte, pero mecánicamente será incapaz de emplearlo. Olvidar un árbol no reduce el costo de los Árboles de Habilidades ya adquiridos, por lo que seguirá contabilizando para el aumento de su valor. No es posible olvidar Árboles Básicos ni de Clan.			50
Escalar Árboles	El ninja aprende a escalar superficies sin necesidad de utilizar las manos, adhiriéndose a ellas únicamente mediante la aplicación de Chakra en sus pies. Este entrenamiento, aunque sencillo en apariencia, fortalece el cuerpo y mejora la velocidad de quien lo practica.	Obtiene +5 de Velocidad.		50
Caminar sobre el Agua	"Requiere la Pasiva: Escalar Árboles. Tras dominar el desplazamiento sobre superficies sólidas, el ninja aprende a caminar sobre el agua manteniendo un flujo continuo de Chakra en sus pies. La precisión requerida para este entrenamiento favorece un mejor flujo de Chakra a través de sus Tenketsu, mejorando las capacidades del usuario."	Obtiene +5 de Tenketsu.		70
Ninja Medico	"Requiere la Pasiva: Afinidad Yang El ninja aprende los principios fundamentales de la medicina y la curación, permitiéndole utilizar instrumental médico y Ninjutsus de naturaleza Yang destinados a sanar o restaurar el cuerpo de otras personas con mayor eficacia. Al emplear Ninjutsu Médico, su Chakra se manifestará con una tonalidad verde. Además, todos los procedimientos médicos, ya sea Jutsus o Herramientas, que normalmente requieren un turno completo para su ejecución pasarán a realizarse en tan solo 2 segundos."			30
Ninja Ilusionista	"Requiere la Pasiva: Afinidad Yin Los ilusionistas dominan el arte de engañar a la realidad misma, moldeando los Jutsus de naturaleza Yin a su voluntad. Gracias a ello, podrán transformar cualquiera de sus Jutsus Yin en una ilusión, manteniendo sus requisitos y efectos originales, pero dejando de ser considerados técnicas de Control Físico o Control Mental. Además, todos los Genjutsus cuya frecuencia esté limitada a un único uso por combate perderán esa restricción."			30
Maestro Elemental	"Requiere la Pasiva: Afinidad (Katon, Suiton, Raiton, Doton o Futon) Una vez por combate, el usuario podrá ignorar la ventaja elemental de un Ninjutsu enemigo durante un choque de Jutsus. Además, los Ninjutsus del elemento correspondiente a su Afinidad Elemental obtendrán un aumento de daño durante cualquier Choque contra otro Ninjutsu elemental, independientemente del elemento al que se enfrenten."			30
